system:index,probability,.geo
423_0,0.17902705,"{""type"":""MultiPoint"",""coordinates"":[]}"
425_0,0.14546044,"{""type"":""MultiPoint"",""coordinates"":[]}"
427_0,0.23113486,"{""type"":""MultiPoint"",""coordinates"":[]}"
430_0,0.47487548,"{""type"":""MultiPoint"",""coordinates"":[]}"
432_0,0.105786815,"{""type"":""MultiPoint"",""coordinates"":[]}"
441_0,0.088706054,"{""type"":""MultiPoint"",""coordinates"":[]}"
447_0,0.2786403,"{""type"":""MultiPoint"",""coordinates"":[]}"
450_0,0.3875038,"{""type"":""MultiPoint"",""coordinates"":[]}"
451_0,0.33193767,"{""type"":""MultiPoint"",""coordinates"":[]}"
454_0,0.0025054368,"{""type"":""MultiPoint"",""coordinates"":[]}"
458_0,0.073374644,"{""type"":""MultiPoint"",""coordinates"":[]}"
460_0,0.47382164,"{""type"":""MultiPoint"",""coordinates"":[]}"
462_0,0.10285099,"{""type"":""MultiPoint"",""coordinates"":[]}"
463_0,0.2974679,"{""type"":""MultiPoint"",""coordinates"":[]}"
465_0,0.28452653,"{""type"":""MultiPoint"",""coordinates"":[]}"
466_0,0.39523908,"{""type"":""MultiPoint"",""coordinates"":[]}"
469_0,0.46664602,"{""type"":""MultiPoint"",""coordinates"":[]}"
472_0,0.0014089538,"{""type"":""MultiPoint"",""coordinates"":[]}"
473_0,0.1497226,"{""type"":""MultiPoint"",""coordinates"":[]}"
474_0,0.075928405,"{""type"":""MultiPoint"",""coordinates"":[]}"
476_0,0.0959975,"{""type"":""MultiPoint"",""coordinates"":[]}"
480_0,0.0139602395,"{""type"":""MultiPoint"",""coordinates"":[]}"
482_0,0.08170499,"{""type"":""MultiPoint"",""coordinates"":[]}"
484_0,0.08200271,"{""type"":""MultiPoint"",""coordinates"":[]}"
485_0,0.187543,"{""type"":""MultiPoint"",""coordinates"":[]}"
486_0,0.19700466,"{""type"":""MultiPoint"",""coordinates"":[]}"
491_0,0.28452653,"{""type"":""MultiPoint"",""coordinates"":[]}"
494_0,0.07154436,"{""type"":""MultiPoint"",""coordinates"":[]}"
495_0,0.11924733,"{""type"":""MultiPoint"",""coordinates"":[]}"
498_0,0.46707267,"{""type"":""MultiPoint"",""coordinates"":[]}"
500_0,0.10829289,"{""type"":""MultiPoint"",""coordinates"":[]}"
504_0,0.07704077,"{""type"":""MultiPoint"",""coordinates"":[]}"
512_0,0.3875038,"{""type"":""MultiPoint"",""coordinates"":[]}"
513_0,0.22533713,"{""type"":""MultiPoint"",""coordinates"":[]}"
517_0,0.09554416,"{""type"":""MultiPoint"",""coordinates"":[]}"
520_0,0.2382989,"{""type"":""MultiPoint"",""coordinates"":[]}"
522_0,0.24355017,"{""type"":""MultiPoint"",""coordinates"":[]}"
523_0,0.035375528,"{""type"":""MultiPoint"",""coordinates"":[]}"
525_0,0.019925795,"{""type"":""MultiPoint"",""coordinates"":[]}"
536_0,0.09558582,"{""type"":""MultiPoint"",""coordinates"":[]}"
538_0,0.25047827,"{""type"":""MultiPoint"",""coordinates"":[]}"
540_0,0.10728097,"{""type"":""MultiPoint"",""coordinates"":[]}"
543_0,0.20238061,"{""type"":""MultiPoint"",""coordinates"":[]}"
544_0,0.05110869,"{""type"":""MultiPoint"",""coordinates"":[]}"
551_0,0.2900603,"{""type"":""MultiPoint"",""coordinates"":[]}"
552_0,0.023443285,"{""type"":""MultiPoint"",""coordinates"":[]}"
553_0,0.312049,"{""type"":""MultiPoint"",""coordinates"":[]}"
554_0,0.3197141,"{""type"":""MultiPoint"",""coordinates"":[]}"
563_0,0.28268552,"{""type"":""MultiPoint"",""coordinates"":[]}"
565_0,0.12755437,"{""type"":""MultiPoint"",""coordinates"":[]}"
568_0,0.6208662,"{""type"":""MultiPoint"",""coordinates"":[]}"
571_0,0.06765379,"{""type"":""MultiPoint"",""coordinates"":[]}"
572_0,0.09558582,"{""type"":""MultiPoint"",""coordinates"":[]}"
574_0,0.08271224,"{""type"":""MultiPoint"",""coordinates"":[]}"
576_0,0.1239609,"{""type"":""MultiPoint"",""coordinates"":[]}"
577_0,0.13127942,"{""type"":""MultiPoint"",""coordinates"":[]}"
579_0,0.13767032,"{""type"":""MultiPoint"",""coordinates"":[]}"
582_0,0.02109769,"{""type"":""MultiPoint"",""coordinates"":[]}"
587_0,0.15058064,"{""type"":""MultiPoint"",""coordinates"":[]}"
591_0,0.08200271,"{""type"":""MultiPoint"",""coordinates"":[]}"
592_0,0.6709732,"{""type"":""MultiPoint"",""coordinates"":[]}"
595_0,0.097796425,"{""type"":""MultiPoint"",""coordinates"":[]}"
597_0,0.03296321,"{""type"":""MultiPoint"",""coordinates"":[]}"
598_0,0.25188187,"{""type"":""MultiPoint"",""coordinates"":[]}"
602_0,0.10165171,"{""type"":""MultiPoint"",""coordinates"":[]}"
603_0,0.055182766,"{""type"":""MultiPoint"",""coordinates"":[]}"
606_0,0.06754969,"{""type"":""MultiPoint"",""coordinates"":[]}"
607_0,0.29140612,"{""type"":""MultiPoint"",""coordinates"":[]}"
610_0,0.7960194,"{""type"":""MultiPoint"",""coordinates"":[]}"
613_0,0.07796733,"{""type"":""MultiPoint"",""coordinates"":[]}"
614_0,0.10285099,"{""type"":""MultiPoint"",""coordinates"":[]}"
